Airline Passenger Satisfaction,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,MEAN,1190.3164,,,,,,,,,,,,,,,
,MEDIAN,844,,,,,,,,,,,,,,,
,VARIANCE,994911.4445,,,,,,,,,,,,,,,
,STANDARD DEVIATION,997.4525,,,,,,,,,,,,,,,
,STANDARD ERROR,2.77,,,,,,,,,,,,,,,
,Q.1,414,,,,,,,,,,,,,,,
,Q.2,844,,,,,,,,,,,,,,,
,Q.3,1744,,,,,,,,,,,,,,,
,MIN,31,,,,,,,,,,,,,,,
,MAX,4983,,,,,,,,,,,,,,,
,IQR,1330,,,,,,,,,,,,,,,
,UPPER,3739,,,,,,,,,,,,,,,
,LOWER,-1581,,,,,,,,,,,,,,,
,Shape of Distribution,Right-Skewed,,,,,,,,,,,,,,,
